epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,28275,1.01736,0.63012,1.19891,0.97945,0.94412,0.97334,0.72454,1.05271,0.52658,1.26623,0.000478762,0.000478762,0.000478762
74,28671,1.02104,0.63586,1.21108,0.91579,0.95,0.98178,0.72441,1.03572,0.53223,1.25485,0.000462259,0.000462259,0.000462259
75,29020.8,1.01488,0.62168,1.18626,0.88517,0.9641,0.96149,0.70801,1.07993,0.54466,1.27702,0.000445756,0.000445756,0.000445756
76,29369.4,0.99104,0.59205,1.19543,0.96726,0.93867,0.96994,0.71518,1.11029,0.54425,1.30565,0.000429253,0.000429253,0.000429253
77,29714.8,1.00089,0.61374,1.20135,0.94828,0.9886,0.99143,0.70032,1.07547,0.53682,1.276,0.000412749,0.000412749,0.000412749
78,30111.8,0.98652,0.61982,1.19311,0.92808,0.9817,0.99143,0.73492,1.06723,0.49673,1.25027,0.000396246,0.000396246,0.000396246
79,30499.8,0.98004,0.59981,1.1998,0.94887,0.9884,0.99262,0.753,0.98269,0.45628,1.19939,0.000379743,0.000379743,0.000379743
80,30812.5,0.96858,0.57684,1.17807,0.96147,0.9935,0.99262,0.75864,0.98521,0.46527,1.20098,0.000363239,0.000363239,0.000363239
81,31295.9,0.96893,0.58277,1.17551,0.94344,1,0.995,0.75389,0.96579,0.47242,1.18952,0.000346736,0.000346736,0.000346736
82,31664.2,0.9878,0.5946,1.17132,0.98031,0.975,0.99273,0.7732,0.92853,0.43142,1.1748,0.000330233,0.000330233,0.000330233
83,32149.1,0.95619,0.56727,1.1594,0.97894,1,0.995,0.78144,0.94954,0.44085,1.17673,0.000313729,0.000313729,0.000313729
84,32516.5,0.96087,0.56307,1.17327,0.97892,0.97236,0.99273,0.76537,0.92969,0.43114,1.16116,0.000297226,0.000297226,0.000297226
85,32881.5,0.94416,0.56024,1.16632,0.96346,1,0.995,0.7669,0.922,0.42535,1.15596,0.000280723,0.000280723,0.000280723
86,33277.7,0.95,0.55638,1.1545,0.98108,0.99402,0.995,0.77809,0.92021,0.43247,1.15135,0.00026422,0.00026422,0.00026422
87,33618,0.94101,0.56046,1.16549,0.9745,1,0.995,0.78327,0.89526,0.42252,1.14565,0.000247716,0.000247716,0.000247716
88,34043.6,0.92381,0.53533,1.13982,0.98193,0.9907,0.995,0.77478,0.94867,0.43349,1.17867,0.000231213,0.000231213,0.000231213
89,34339.5,0.94453,0.54434,1.15796,0.98649,0.96672,0.99381,0.7643,0.95602,0.43665,1.17874,0.00021471,0.00021471,0.00021471
90,34737,0.93972,0.5627,1.16284,0.94732,1,0.99381,0.76711,0.92517,0.42454,1.15701,0.000198206,0.000198206,0.000198206
91,35069.3,0.91993,0.50095,1.16906,0.96417,0.975,0.99273,0.77034,0.89866,0.42835,1.15211,0.000181703,0.000181703,0.000181703
92,35532.2,0.89885,0.48503,1.15198,0.96394,0.99526,0.995,0.78577,0.92196,0.42191,1.1656,0.0001652,0.0001652,0.0001652
93,35925,0.89076,0.48119,1.14247,0.97217,1,0.995,0.77992,0.93645,0.42284,1.15829,0.000148696,0.000148696,0.000148696
94,36188.7,0.90631,0.48461,1.15367,0.97582,0.975,0.99381,0.78016,0.93156,0.42481,1.15562,0.000132193,0.000132193,0.000132193
95,36559.1,0.88389,0.47964,1.15931,0.98474,0.94865,0.99148,0.77327,0.94032,0.41736,1.15844,0.00011569,0.00011569,0.00011569
96,36848.2,0.87351,0.46289,1.1478,0.93997,1,0.99262,0.78739,0.92854,0.40927,1.14856,9.91865e-05,9.91865e-05,9.91865e-05
97,37241.2,0.87058,0.46926,1.137,0.982,0.97065,0.99381,0.79584,0.91082,0.4054,1.13674,8.26832e-05,8.26832e-05,8.26832e-05
98,37679.4,0.8768,0.46446,1.12099,0.98021,0.96851,0.99381,0.79635,0.90625,0.39947,1.13644,6.61799e-05,6.61799e-05,6.61799e-05
99,38109.2,0.85833,0.46119,1.13411,0.94604,1,0.99262,0.79379,0.89533,0.39874,1.13159,4.96766e-05,4.96766e-05,4.96766e-05
100,38392.7,0.84108,0.44834,1.12013,0.97947,0.97301,0.99381,0.7963,0.91036,0.40224,1.13977,3.31733e-05,3.31733e-05,3.31733e-05
